Image File,Response,GT
2007_000528.jpg,13,11.7
2007_000549.jpg,75,72.7
2007_000876.jpg,40,36.7
2007_001185.jpg,3,2.5
2007_001825.jpg,28,29.3
2007_002760.jpg,75,71.6
2007_003525.jpg,32,34.4
2007_003778.jpg,24,27.3
2007_003788.jpg,9,10.1
2007_004998.jpg,18,17.8
2007_005688.jpg,47,49.1
2007_006303.jpg,11,7.6
2007_006641.jpg,63,55.9
2007_007098.jpg,35,36.1
2007_007530.jpg,3,2.7
2007_007878.jpg,16,15.0
2007_008403.jpg,28,28.3
2007_008575.jpg,54,58.1
2007_009216.jpg,11,12.6
2007_009464.jpg,37,44.7
2007_009630.jpg,3,3.8
2007_009724.jpg,72,71.4
2008_000056.jpg,50,56.5
2008_000060.jpg,45,47.5
2008_000062.jpg,53,51.3
2008_000096.jpg,22,28.5
2008_000112.jpg,25,24.0
2008_000115.jpg,22,21.1
2008_000116.jpg,16,16.5
2008_000181.jpg,39,40.1
2008_000196.jpg,3,3.5
2008_000222.jpg,17,41.4
2008_000227.jpg,12,13.8
2008_000306.jpg,31,27.5
2008_000358.jpg,26,28.6
2008_000502.jpg,35,34.2
2008_000536.jpg,49,55.5
2008_000581.jpg,21,24.4
2008_000619.jpg,1,1.2
2008_000641.jpg,10,10.9
2008_000660.jpg,8,7.9
2008_000670.jpg,12,11.7
2008_000724.jpg,65,68.0
2008_000793.jpg,50,52.5
2008_000824.jpg,9,10.6
2008_000839.jpg,65,54.2
2008_000847.jpg,7,9.8
2008_000860.jpg,6,5.2
2008_000950.jpg,14,14.3
2008_000999.jpg,20,16.8
2008_001004.jpg,26,27.7
2008_001071.jpg,46,56.2
2008_001111.jpg,20,16.2
2008_001210.jpg,28,28.8
2008_001267.jpg,42,44.4
2008_001290.jpg,50,44.4
2008_001335.jpg,77,82.3
2008_001350.jpg,53,52.3
2008_001357.jpg,28,25.6
2008_001374.jpg,30,39.6
2008_001414.jpg,27,28.3
2008_001592.jpg,10,9.8
2008_001610.jpg,6,4.9
2008_001708.jpg,26,27.2
2008_001741.jpg,30,24.2
2008_001792.jpg,14,17.9
2008_001836.jpg,7,7.2
2008_001876.jpg,18,19.3
2008_001980.jpg,23,20.6
2008_002004.jpg,54,62.1
2008_002045.jpg,67,53.8
2008_002067.jpg,12,6.9
2008_002177.jpg,32,35.8
2008_002182.jpg,14,13.1
2008_002201.jpg,48,49.9
2008_002215.jpg,28,29.5
2008_002225.jpg,4,5.0
2008_002234.jpg,97,96.5
2008_002293.jpg,28,33.3
2008_002294.jpg,31,34.2
2008_002298.jpg,22,23.2
2008_002299.jpg,14,13.8
2008_002329.jpg,13,11.4
2008_002410.jpg,20,20.6
2008_002583.jpg,47,46.9
2008_002597.jpg,38,42.3
2008_002668.jpg,77,83.0
2008_002682.jpg,17,15.8
2008_002749.jpg,36,33.0
2008_002766.jpg,67,63.0
2008_002793.jpg,37,36.7
2008_002845.jpg,18,20.5
2008_002872.jpg,90,92.5
2008_002899.jpg,40,47.3
2008_002957.jpg,52,57.7
2008_003045.jpg,35,32.8
2008_003048.jpg,45,50.7
2008_003052.jpg,40,37.0
2008_003063.jpg,11,13.5
2008_003088.jpg,68,64.3
2008_003104.jpg,46,49.7
2008_003114.jpg,62,65.7
2008_003167.jpg,17,19.5
2008_003213.jpg,23,21.9
2008_003228.jpg,2,2.1
2008_003231.jpg,2,3.1
2008_003239.jpg,18,14.4
2008_003244.jpg,47,46.2
2008_003303.jpg,52,52.4
2008_003343.jpg,44,41.6
2008_003386.jpg,48,51.4
2008_003420.jpg,23,20.5
2008_003430.jpg,46,48.5
2008_003501.jpg,19,18.0
2008_003519.jpg,15,15.6
2008_003557.jpg,16,18.3
2008_003559.jpg,43,39.7
2008_003562.jpg,13,12.7
2008_003607.jpg,2,2.1
2008_003622.jpg,36,41.6
2008_003624.jpg,41,32.6
2008_003659.jpg,32,35.3
2008_003704.jpg,47,55.4
2008_003726.jpg,15,15.4
2008_003772.jpg,28,29.0
2008_003776.jpg,3,2.5
2008_003841.jpg,20,21.4
2008_003932.jpg,37,28.0
2008_003974.jpg,82,81.0
2008_004006.jpg,72,72.5
2008_004022.jpg,22,22.3
2008_004048.jpg,11,8.9
2008_004074.jpg,68,69.4
2008_004119.jpg,45,40.0
2008_004120.jpg,10,9.2
2008_004155.jpg,38,40.8
2008_004189.jpg,18,16.2
2008_004232.jpg,32,36.9
2008_004257.jpg,87,90.4
2008_004284.jpg,3,3.8
2008_004290.jpg,24,28.0
2008_004303.jpg,28,31.2
2008_004328.jpg,10,4.1
2008_004347.jpg,62,62.7
2008_004374.jpg,6,7.5
2008_004422.jpg,60,56.6
2008_004462.jpg,27,27.0
2008_004490.jpg,5,6.4
2008_004515.jpg,8,2.4
2008_004538.jpg,20,15.3
2008_004540.jpg,13,12.0
2008_004579.jpg,46,49.8
2008_004583.jpg,29,25.2
2008_004635.jpg,30,35.7
2008_004640.jpg,22,22.7
2008_004672.jpg,100,96.7
2008_004688.jpg,93,93.5
2008_004732.jpg,53,51.5
2008_004736.jpg,7,4.2
2008_004767.jpg,37,39.7
2008_004797.jpg,5,3.5
2008_004856.jpg,27,28.1
2008_004873.jpg,32,37.7
2008_004933.jpg,60,53.5
2008_004966.jpg,8,8.9
2008_004967.jpg,35,34.2
2008_004990.jpg,30,35.6
2008_005003.jpg,78,70.7
2008_005013.jpg,22,22.8
2008_005061.jpg,37,35.7
2008_005064.jpg,12,8.2
2008_005072.jpg,15,15.9
2008_005088.jpg,19,15.1
2008_005109.jpg,32,32.3
2008_005134.jpg,49,55.9
2008_005181.jpg,3,1.9
2008_005193.jpg,24,36.6
2008_005235.jpg,17,15.3
2008_005247.jpg,35,35.2
2008_005252.jpg,16,14.1
2008_005270.jpg,33,34.8
2008_005281.jpg,40,36.8
2008_005288.jpg,23,26.2
2008_005300.jpg,23,22.4
